Food group,betacaroten,calcium,carbs,fibre,grams,iron,iron_haem,non haem iron,kcal,magnesium,niacin,potassium,protein,retinol,riboflavin,sodium,thiamin,total_fats,vitA_RAE,vitE,vit_B12,vit_C,zinc
Fish and sea food,7.0,28.1,0.3,0.4,19.3,29.8,76.7,0.0,11.2,30.6,52.9,30.6,48.0,75.4,33.1,14.1,19.3,25.0,52.3,37.4,84.8,5.6,23.8
Bread and cereals,4.4,17.4,62.9,50.1,36.9,19.7,0.0,31.0,50.0,35.1,21.7,20.4,37.6,2.5,35.7,12.3,56.4,17.5,1.7,7.5,3.6,0.8,58.9
Meat,9.8,1.3,0.1,2.8,4.8,10.0,26.9,0.0,4.3,3.6,11.2,5.0,11.1,12.1,7.8,7.0,3.9,15.1,8.6,6.2,16.1,1.9,13.2
Fruit,38.6,12.5,6.8,44.5,14.5,25.7,0.0,40.0,11.8,18.9,10.8,24.0,4.5,0.0,9.7,0.8,16.9,29.7,8.8,22.8,0.0,57.3,5.8
Vegetables,59.0,10.0,2.1,13.2,8.6,8.4,0.0,13.1,2.0,6.1,5.7,12.6,2.8,0.0,9.3,0.2,7.3,1.0,40.0,8.2,0.0,28.9,3.9
"Mineral water, soft drinks, fruit and vegetable juices",2.0,1.3,8.7,0.1,18.5,0.8,0.0,1.3,6.4,4.6,5.4,10.6,0.9,0.0,6.9,4.1,0.1,2.7,0.3,0.7,0.0,40.3,0.6
"Restaurants, cafes and the like",20.1,6.6,0.9,3.6,2.7,3.7,6.5,2.0,2.1,3.5,4.9,3.8,4.6,6.6,5.7,2.5,4.1,4.6,12.4,5.1,3.5,4.4,4.3
"Coffee, tea and cocoa",0.7,1.8,0.3,2.0,0.3,3.5,0.0,5.3,0.3,2.4,3.8,2.3,0.4,5.3,2.7,0.1,2.8,0.4,3.7,0.3,0.5,3.4,0.4
"Milk, cheese and eggs",4.9,17.0,1.4,0.0,1.4,0.7,1.6,0.4,1.9,3.4,0.8,4.7,3.1,13.7,13.8,1.1,2.9,3.4,8.6,1.3,5.9,2.7,3.6
Oils and fats,1.8,0.2,0.0,0.4,1.4,0.1,0.0,0.3,5.0,0.5,0.6,0.2,0.2,5.4,0.2,0.3,0.1,26.4,3.9,35.1,0.0,0.3,0.3
Food products n.e.c.,11.0,2.1,0.2,1.0,2.0,4.9,8.2,3.8,0.3,2.0,0.6,1.6,0.7,0.8,1.8,71.8,0.4,0.5,2.5,1.3,0.1,1.4,0.7
"Sugar, jam, honey, chocolate and confectionery",0.5,27.7,26.4,0.0,11.8,11.5,0.0,20.8,18.3,5.6,0.0,8.7,0.2,0.8,0.3,0.7,0.0,0.2,0.6,0.0,0.0,0.0,0.0
